dataset,seq,frame,type,class,track_id,gt_id_new,old_hid,top1,top2,margin,no_box,cos_theta,r_v,v_obs_norm,sigma_norm,n_neighbor,geom_020
MOT17,V003,358,switch,S_r,169,28,160,0.8629,0.6159,0.2471,0,0.8479,1.217327,0.0629,0.0579,4.0,0
MOT17,V003,364,switch,S_r,155,31,169,0.8732,0.2137,0.6595,0,0.9718,1.096466,0.0344,0.0617,3.0,0
MOT17,V003,366,switch,S_c,189,29,155,0.4724,0.3270,0.1454,0,,,,0.1414,,1
MOT17,V003,389,switch,S_r,170,18,168,0.5826,0.0380,0.5446,0,0.2373,27.873340,0.0830,0.0547,1.0,0
MOT17,V003,391,switch,S_r,172,42,174,0.8718,0.1495,0.7223,0,0.9369,1.575363,0.0466,0.0582,2.0,0
MOT17,V003,394,switch,S_r,181,9,179,0.7696,0.1782,0.5914,0,-0.8809,2.914719,0.0315,0.0583,5.0,0
MOT17,V003,395,switch,S_r,186,48,180,0.8274,0.2778,0.5496,0,0.0238,3.231685,0.0299,0.0580,3.0,0
MOT17,V003,395,switch,S_c,192,67,170,0.1307,0.0356,0.0951,0,,,,0.1414,,0
MOT17,V003,400,switch,S_h,179,17,171,0.6802,0.2385,0.4416,0,,,,0.0665,,0
MOT17,V003,404,switch,S_h,155,26,149,0.8747,0.2908,0.5839,0,,,,0.0659,,0
MOT17,V003,405,switch,S_h,171,10,181,0.6258,0.2329,0.3929,0,,,,0.0672,,0
MOT17,V003,405,switch,S_c,193,15,172,0.2953,0.0919,0.2034,0,,,,0.1414,,0
MOT17,V003,408,switch,S_h,168,41,163,0.8317,0.0719,0.7598,0,,,,0.0725,,0
MOT17,V003,423,switch,S_r,161,61,158,0.8674,0.0263,0.8411,0,0.9879,2.423537,0.0157,0.0552,2.0,0
MOT17,V003,427,switch,S_h,169,31,155,0.5059,0.2957,0.2102,0,,,,0.0572,,0
MOT17,V003,429,switch,S_r,179,9,181,0.8862,0.6296,0.2565,0,-0.9930,2.970690,0.0129,0.0561,4.0,0
MOT17,V003,442,switch,S_r,189,31,169,0.8256,0.5295,0.2962,0,0.5352,3.340198,0.0328,0.0594,4.0,0
MOT17,V003,443,switch,S_c,196,60,161,0.3258,0.0163,0.3095,0,,,,0.1414,,0
MOT17,V003,446,switch,S_r,172,65,168,0.7295,0.0921,0.6374,0,0.1097,2.946556,0.0175,0.0570,2.0,0
MOT17,V003,448,switch,S_c,198,17,179,0.0460,0.0074,0.0386,0,,,,0.1414,,0
MOT17,V003,448,switch,S_h,179,76,178,0.0409,0.0092,0.0317,0,,,,0.0649,,0
MOT17,V003,451,switch,S_r,158,48,186,0.8738,0.7139,0.1599,0,,,0.0299,0.0548,3.0,1
MOT17,V003,452,switch,S_c,200,10,171,0.1743,0.1592,0.0151,0,,,,0.1414,,0
MOT17,V003,452,switch,S_r,176,33,183,0.6306,0.1544,0.4761,0,-0.7939,2.287157,0.0319,0.0550,1.0,0
MOT17,V003,454,switch,S_h,178,9,179,0.4584,0.0930,0.3654,0,,,,0.0529,,0
MOT17,V003,455,switch,S_h,183,33,183,0.3158,0.0637,0.2521,0,,,,0.0716,,0
MOT17,V003,457,switch,S_r,200,9,178,0.4138,0.2786,0.1352,0,0.0735,3.581569,0.1157,0.0457,3.0,1
MOT17,V003,457,switch,S_c,201,40,157,0.0374,0.0206,0.0168,0,,,,0.1414,,0
MOT17,V003,458,switch,S_h,178,9,178,0.5952,0.3438,0.2515,0,,,,0.0625,,0
MOT17,V003,458,switch,S_r,192,41,168,0.9483,0.1124,0.8359,0,0.9544,1.220413,0.0277,0.0585,1.0,0
MOT17,V003,461,switch,S_r,181,9,178,0.9183,0.5692,0.3491,0,0.9584,1.148703,0.0130,0.0582,4.0,0
MOT17,V003,461,switch,S_h,186,48,158,0.1740,0.0789,0.0951,0,,,,0.0713,,0
MOT17,V003,461,switch,S_r,180,56,186,0.6826,0.2700,0.4126,0,-0.5101,1.390394,0.0392,0.0596,2.0,0
MOT17,V003,462,switch,S_h,168,42,172,0.4571,0.2284,0.2288,0,,,,0.0853,,0
MOT17,V003,462,switch,S_h,156,49,180,0.4173,0.0349,0.3823,0,,,,0.0660,,0
MOT17,V003,473,switch,S_r,192,42,168,0.8379,0.4184,0.4194,0,0.8149,1.965762,0.0144,0.0551,2.0,0
MOT17,V003,473,switch,S_r,168,67,192,0.8945,0.4284,0.4661,0,0.6801,2.020469,0.0211,0.0603,3.0,0
MOT17,V003,475,switch,S_r,183,32,176,0.9860,0.3606,0.6254,0,0.7484,1.125666,0.0019,0.0577,3.0,0
MOT17,V003,475,switch,S_r,176,33,183,0.9749,0.3685,0.6063,0,0.9908,1.083103,0.0316,0.0579,2.0,0
MOT17,V003,479,switch,S_r,198,41,192,0.9675,0.2898,0.6777,0,0.9030,1.026447,0.0217,0.0585,2.0,0
MOT17,V003,485,switch,S_r,192,17,198,0.9122,0.1206,0.7916,0,-0.9250,12.107849,0.0128,0.0579,2.0,0
MOT17,V003,486,switch,S_h,158,56,186,0.5359,0.0000,0.5359,0,,,,0.0711,,0
MOT17,V003,488,switch,S_c,203,42,192,0.2654,0.2544,0.0109,0,,,,0.1414,,1
MOT17,V003,496,switch,S_c,204,31,189,0.6380,0.5100,0.1280,0,,,,0.1414,,1
MOT17,V003,498,switch,S_r,179,41,198,0.8971,0.4648,0.4323,0,-0.2882,1.208584,0.0126,0.0568,4.0,0
MOT17,V003,498,switch,S_r,198,78,179,0.9124,0.4754,0.4370,0,0.8347,1.327266,0.0153,0.0550,4.0,0
MOT17,V003,508,switch,S_r,179,42,203,0.8763,0.6203,0.2560,0,-0.1094,1.012233,0.0122,0.0564,5.0,0
MOT17,V003,508,switch,S_r,203,78,198,0.9594,0.3339,0.6255,0,0.9303,1.205844,0.0178,0.0570,4.0,0
MOT17,V003,514,switch,S_r,193,18,170,0.4914,0.2822,0.2092,0,-0.9980,2.865650,0.0296,0.0582,2.0,0
MOT17,V003,514,switch,S_h,198,42,179,0.4342,0.2008,0.2333,0,,,,0.0597,,0
MOT17,V003,516,switch,S_r,179,9,181,0.8505,0.6776,0.1729,0,-0.5523,2.745595,0.0299,0.0600,4.0,1
MOT17,V003,516,switch,S_r,181,41,179,0.8598,0.3908,0.4690,0,0.9862,1.884127,0.0225,0.0586,4.0,0
MOT17,V003,519,switch,S_r,170,18,193,0.8676,0.1003,0.7673,0,0.9728,4.447114,0.0322,0.0556,2.0,0
MOT17,V003,523,switch,S_r,198,10,200,0.8929,0.3779,0.5150,0,0.4846,1.433882,0.0248,0.0583,5.0,0
MOT17,V003,523,switch,S_r,168,17,192,0.9582,0.3146,0.6437,0,0.9404,1.403404,0.0089,0.0562,2.0,0
MOT17,V003,524,switch,S_r,200,42,198,0.4482,0.3517,0.0966,0,-0.9340,1.343249,0.1065,0.0545,4.0,1
MOT17,V003,530,switch,S_r,200,9,179,0.9190,0.4970,0.4221,0,0.0352,1.485480,0.0135,0.0564,4.0,0
MOT17,V003,530,switch,S_r,179,42,200,0.8698,0.5262,0.3436,0,-0.9625,2.901670,0.0063,0.0568,4.0,0
MOT17,V003,554,switch,S_r,168,15,193,0.9060,0.1257,0.7803,0,-0.7757,2.407401,0.0141,0.0596,1.0,0
MOT17,V003,570,switch,S_c,213,18,170,0.0000,0.0000,0.0000,0,,,,0.1414,,0
MOT17,V003,580,switch,S_r,167,31,204,0.9705,0.6871,0.2833,0,0.9776,1.148928,0.0234,0.0567,2.0,0
MOT17,V003,596,switch,S_h,203,15,168,0.2649,0.0873,0.1776,0,,,,0.0712,,0
MOT17,V004,624,switch,S_c,269,93,256,0.6316,0.1725,0.4592,0,,,,0.1414,,0
MOT17,V004,839,switch,S_r,233,93,269,0.9840,0.4776,0.5064,0,,,0.0014,0.0577,4.0,0
MOT17,V004,839,switch,S_r,269,96,233,0.9814,0.4790,0.5024,0,,,0.0006,0.0576,2.0,0
MOT17,V004,915,switch,S_c,285,141,270,0.4010,0.1044,0.2966,0,,,,0.1414,,0
MOT17,V004,936,switch,S_r,276,141,285,0.9740,0.0369,0.9371,0,,,0.0101,0.0565,2.0,0
MOT17,V004,956,switch,S_h,285,141,276,0.5737,0.0046,0.5691,0,,,,0.0789,,0
MOT17,V005,624,switch,S_c,339,93,326,0.6316,0.1725,0.4592,0,,,,0.1414,,0
MOT17,V005,839,switch,S_r,303,93,339,0.9840,0.4776,0.5064,0,,,0.0014,0.0577,4.0,0
MOT17,V005,839,switch,S_r,339,96,303,0.9814,0.4790,0.5024,0,,,0.0006,0.0576,2.0,0
MOT17,V005,915,switch,S_c,355,141,340,0.4010,0.1044,0.2966,0,,,,0.1414,,0
MOT17,V005,936,switch,S_r,346,141,355,0.9740,0.0369,0.9371,0,,,0.0101,0.0565,2.0,0
MOT17,V005,956,switch,S_h,355,141,346,0.5737,0.0046,0.5691,0,,,,0.0789,,0
MOT17,V006,624,switch,S_c,409,93,396,0.6316,0.1725,0.4592,0,,,,0.1414,,0
MOT17,V006,839,switch,S_r,373,93,409,0.9840,0.4776,0.5064,0,,,0.0014,0.0577,4.0,0
MOT17,V006,839,switch,S_r,409,96,373,0.9814,0.4790,0.5024,0,,,0.0006,0.0576,2.0,0
MOT17,V006,915,switch,S_c,425,141,410,0.4010,0.1044,0.2966,0,,,,0.1414,,0
MOT17,V006,936,switch,S_r,416,141,425,0.9740,0.0369,0.9371,0,,,0.0101,0.0565,2.0,0
MOT17,V006,956,switch,S_h,425,141,416,0.5737,0.0046,0.5691,0,,,,0.0789,,0
MOT17,V007,420,switch,S_r,434,48,433,0.6876,0.5546,0.1330,0,,,0.0476,0.0579,1.0,1
MOT17,V007,422,switch,S_c,435,49,434,0.3858,0.0000,0.3858,0,,,,0.1414,,0
MOT17,V007,443,switch,S_r,438,124,439,0.8534,0.0000,0.8534,0,0.9989,1.173562,0.0771,0.0542,1.0,0
MOT17,V007,444,switch,S_h,434,49,435,0.0000,0.0000,0.0000,0,,,,0.0785,,0
MOT17,V007,445,switch,S_c,442,48,434,0.2978,0.0000,0.2978,0,,,,0.1414,,0
MOT17,V007,447,switch,S_h,439,124,438,0.7132,0.0000,0.7132,0,,,,0.0769,,0
MOT17,V007,463,switch,S_r,434,48,442,0.5029,0.4843,0.0186,0,0.9988,5.046306,0.1432,0.0542,3.0,1
MOT17,V007,522,switch,S_r,440,54,437,0.7966,0.1367,0.6599,0,0.6829,1.614570,0.0132,0.0635,1.0,0
MOT17,V007,530,switch,S_h,437,54,437,0.3961,0.0198,0.3763,0,,,,0.0786,,0
MOT17,V007,558,switch,S_r,440,60,449,0.3269,0.3129,0.0140,0,-0.9996,1.808620,0.0879,0.0689,3.0,1
MOT17,V007,561,switch,S_h,443,52,440,0.3779,0.0807,0.2972,0,,,,0.0546,,0
MOT17,V007,589,switch,S_h,443,53,441,0.6274,0.1862,0.4412,0,,,,0.0790,,0
MOT17,V007,593,switch,S_h,441,54,437,0.8314,0.1790,0.6524,0,,,,0.0804,,0
MOT17,V007,602,switch,S_h,437,54,441,0.8077,0.1303,0.6774,0,,,,0.0735,,0
MOT17,V007,733,switch,S_h,472,136,471,0.5584,0.0000,0.5584,0,,,,0.1414,,0
MOT17,V007,754,switch,S_h,453,83,469,0.7492,0.0867,0.6625,0,,,,0.0727,,0
MOT17,V007,755,switch,S_c,479,89,478,0.0389,0.0001,0.0388,0,,,,0.1414,,0
