seq,frame,type,gt_id_old,gt_id_new,track_id,note
V002,459,switch,183,183,265,tracker 255 -> 265 on gt 183
V002,464,reuse,271,272,260,tracker 260 matched gt 271 (last frame 463) now gt 272
V002,474,switch,247,247,267,tracker 252 -> 267 on gt 247
V002,483,switch,247,247,252,tracker 267 -> 252 on gt 247
V002,484,switch,247,247,267,tracker 267 -> 267 on gt 247
V002,507,reuse,183,276,265,tracker 265 matched gt 183 (last frame 506) now gt 276
V002,514,switch,183,183,272,tracker 265 -> 272 on gt 183
V002,525,switch,235,235,275,tracker 208 -> 275 on gt 235
V002,530,switch,271,271,278,tracker 260 -> 278 on gt 271
V002,533,reuse,183,275,272,tracker 272 matched gt 183 (last frame 521) now gt 275
V002,535,switch,183,183,281,tracker 272 -> 281 on gt 183
V002,539,switch,236,236,283,tracker 206 -> 283 on gt 236
V002,557,switch,272,272,278,tracker 260 -> 278 on gt 272
V002,559,reuse,271,272,278,tracker 278 matched gt 271 (last frame 558) now gt 272
V002,563,switch,177,177,215,tracker 258 -> 215 on gt 177
V002,564,reuse,268,177,215,tracker 215 matched gt 268 (last frame 562) now gt 177
V002,567,switch,265,265,258,tracker 262 -> 258 on gt 265
V002,568,reuse,177,265,258,tracker 258 matched gt 177 (last frame 550) now gt 265
V002,573,reuse,277,279,285,tracker 285 matched gt 277 (last frame 572) now gt 279
V002,574,switch,277,277,287,tracker 285 -> 287 on gt 277
V002,577,switch,55,55,281,tracker 259 -> 281 on gt 55
V002,577,switch,183,183,259,tracker 281 -> 259 on gt 183
V002,578,reuse,183,55,281,tracker 281 matched gt 183 (last frame 560) now gt 55
V002,578,reuse,55,183,259,tracker 259 matched gt 55 (last frame 576) now gt 183
V002,580,switch,271,271,288,tracker 278 -> 288 on gt 271
V002,599,switch,268,268,291,tracker 215 -> 291 on gt 268
V002,613,switch,272,272,288,tracker 278 -> 288 on gt 272
V002,614,reuse,271,272,288,tracker 288 matched gt 271 (last frame 585) now gt 272
V002,615,switch,272,272,278,tracker 288 -> 278 on gt 272
V002,615,reuse,272,271,288,tracker 288 matched gt 272 (last frame 614) now gt 271
V002,623,switch,265,265,296,tracker 258 -> 296 on gt 265
V002,633,switch,55,55,259,tracker 281 -> 259 on gt 55
V002,634,reuse,183,55,259,tracker 259 matched gt 183 (last frame 632) now gt 55
V002,635,switch,183,183,299,tracker 259 -> 299 on gt 183
