seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V001,509,reuse,41,42,33,0,508,1,0.95365008,0.40000000,0.60000000,0.72111026,0.95365008,0.94736842,,,1.04860264,
V001,509,reuse,42,78,57,0,508,1,0.90143380,-1.50000000,0.70000000,1.65529454,0.90143380,0.92830845,,,0.99800995,
V001,514,switch,18,18,47,24,513,1,0.81451239,-2.30000000,0.95000000,2.48847343,0.81451239,0.89061567,0.35679644,14.58638063,1.10133247,
V001,514,switch,42,42,52,33,507,7,0.41485354,12.10000000,4.05000000,12.75980016,,0.89910257,0.35694944,17.05417837,1.32533359,no_prev
V001,514,reuse,42,41,33,0,513,1,0.71209592,6.00000000,-4.20000000,7.32393337,0.71209592,0.91645418,,,0.90207541,
V001,515,reuse,15,18,47,0,514,1,0.89061567,-1.60000000,-0.35000000,1.63783394,0.89061567,,,,1.00796826,no_next
V001,515,reuse,78,42,52,0,514,1,0.89910257,1.20000000,0.85000000,1.47054412,0.89910257,0.95736000,,,1.08238654,
V001,516,switch,9,9,33,35,515,1,0.85054951,0.05000000,-4.15000000,4.15030119,0.85054951,0.89282451,0.37745134,13.52368293,0.85054951,
V001,516,switch,41,41,35,33,515,1,0.83712530,2.40000000,0.35000000,2.42538657,0.83712530,0.90665967,0.37745134,13.52368293,0.99025915,
V001,517,reuse,41,9,33,0,516,1,0.89282451,-0.10000000,-2.40000000,2.40208243,0.89282451,0.91116088,,,0.89282451,
V001,517,reuse,9,41,35,0,516,1,0.90665967,1.20000000,0.10000000,1.20415946,0.90665967,0.90097874,,,0.98233562,
V001,519,switch,18,18,24,47,518,1,0.83553775,-2.40000000,2.40000000,3.39411255,0.83553775,0.91917921,,,1.08803213,no_old
V001,523,switch,10,10,52,54,522,1,0.84848675,-2.95000000,0.00000000,2.95000000,0.84848675,0.89481128,0.13046498,27.81299157,1.00452335,
V001,523,switch,17,17,22,46,522,1,0.95824378,0.40000000,0.90000000,0.98488578,0.95824378,0.95238948,0.36689598,17.78102922,1.04357578,
V001,524,switch,42,42,54,52,523,1,0.66917898,-3.35000000,12.60000000,13.03773370,0.66917898,0.97252621,0.24764211,25.87378016,1.48796724,
V001,524,reuse,42,10,52,0,523,1,0.89481128,1.15000000,2.20000000,2.48243832,0.89481128,0.84365591,,,1.10591917,
V001,524,reuse,67,17,22,0,523,1,0.95238948,0.55000000,1.05000000,1.18532696,0.95238948,0.96320971,,,1.03893943,
V001,525,reuse,10,42,54,0,524,1,0.97252621,0.45000000,0.15000000,0.47434165,0.97252621,0.88813442,,,0.99891531,
V001,530,switch,9,9,54,33,529,1,0.92534487,-1.40000000,1.50000000,2.05182845,0.92534487,0.91829787,0.51769781,20.73698387,1.02084209,
V001,530,switch,42,42,33,54,529,1,0.96911151,-0.35000000,-0.60000000,0.69462220,0.96911151,0.97833506,0.51769781,20.73698387,1.01248069,
V001,530,reuse,78,79,57,0,529,1,0.88410752,-1.00000000,2.20000000,2.41660919,0.88410752,0.86599028,,,1.13108415,
V001,531,reuse,42,9,54,0,530,1,0.91829787,-1.90000000,-0.55000000,1.97800404,0.91829787,0.85215239,,,0.98434861,
V001,531,reuse,9,42,33,0,530,1,0.97833506,0.20000000,0.05000000,0.20615528,0.97833506,0.90901549,,,0.98392857,
